ind,f_1,f_2,f_3,f_4,t_1,t_2
0,1.4092184368737501,1.95410821643287,2.86773547094188,7.8116232464929904,1504.17562070125,501.56301628146304
1,1.38256513026052,2.0062124248497,1.5450901803607198,8.12424849699399,1240.53049970837,377.163157523805
2,1.62244488977956,1.3861723446893799,1.1923847695390801,7.35470941883768,1385.1911551278,457.404772476939
3,1.78617234468938,1.59198396793587,2.35070140280561,4.32464929859719,1602.8419746425302,1429.7951447723099
4,1.9955911823647299,2.0244488977955903,1.2084168336673302,6.9939879759519,1326.29097868091,514.00914277282
5,1.287374749499,1.6310621242485,1.1482965931863702,4.52905811623247,1508.05446106597,984.5554080004331
6,1.2949899799599198,0.805210420841683,2.54308617234469,7.75150300601202,1446.6431332801099,489.292811677452
7,1.4739478957915801,0.8182364729458921,2.12224448897796,6.39278557114228,1696.78343205478,712.2167120247211
8,0.887575150300601,1.3679358717434902,2.7354709418837704,5.40681362725451,1777.5281995596697,1136.52610087189
9,1.80140280561122,1.06052104208417,1.01603206412826,7.60721442885772,1211.92139520425,393.32886639007995
10,2.48296593186373,1.38877755511022,2.32264529058116,9.55511022044088,1460.8550681806198,356.262928609714
11,0.830460921843687,1.3366733466933898,1.91783567134269,8.83366733466934,1489.4696109286701,411.773192636546
12,1.1997995991983998,1.3627254509018,2.14228456913828,6.705410821643291,1666.9455877431399,663.090353481825
13,1.45110220440882,1.01623246492986,2.8837675350701404,5.92384769539078,1671.5772242860198,835.921937623154
14,1.53867735470942,1.5997995991983998,1.18837675350701,9.45891783567134,1187.33273402737,314.25019630119704
15,1.2188376753507,1.44609218436874,2.0060120240481,9.66332665330661,1604.38168118203,392.511249178683
16,2.2811623246492996,1.01102204408818,1.76953907815631,4.13226452905812,1669.88387947151,1323.17223046267
17,2.3725450901803598,1.34448897795591,1.06012024048096,6.0921843687374695,1313.26260641497,534.244474697338
18,1.11603206412826,1.85250501002004,2.0701402805611204,4.01202404809619,1773.75616422215,1589.7048203135
19,2.0450901803607198,0.995390781563126,2.64729458917836,4.18036072144289,1779.31700399425,1666.4856242217402
20,2.14028056112224,1.20380761523046,2.4989979959919797,9.65130260521042,1390.6013383719,326.94045369709596
21,1.5691382765531101,1.9931863727454902,2.01803607214429,8.31663326653307,1618.77895379529,508.784315291738
22,1.8585170340681398,2.05831663326653,1.8577154308617199,6.825651302605211,1554.92965947615,582.658467037553
23,1.93847695390782,1.2376753507014,1.69338677354709,9.13426853707415,1405.64329992857,374.18722828473
24,1.6681362725450901,2.09739478957916,2.11022044088176,5.394789579158321,1754.99055861612,968.263734367615
25,1.9689378757515001,1.9749498997996002,1.55711422845691,5.87575150300601,1474.67720865335,664.820270023472
26,2.4182364729458903,1.8889779559118198,1.0921843687374801,4.75751503006012,1484.11386457884,847.598996078497
27,2.00701402805611,1.2324649298597201,2.92384769539078,9.098196392785571,1523.6717209426802,414.97650314375505
28,1.08557114228457,2.03486973947896,1.3527054108216399,4.82965931863727,1689.1758811773902,1000.75477850666
29,2.20120240480962,1.2064128256513,1.1002004008016,9.19438877755511,1087.4367903920802,295.397256427331
30,2.16312625250501,1.1751503006012,2.6232464929859702,5.310621242484969,1678.50118710103,1033.60113302907
31,2.4372745490982,1.37314629258517,2.9038076152304604,6.86172344689379,1614.4173772273998,652.9688309090931
32,1.3939879759518998,2.07134268537074,1.85370741482966,7.030060120240481,1506.92699935719,555.9146851985649
33,0.933266533066132,0.9563126252505011,2.4468937875751497,7.23446893787575,1369.5417638994802,501.134790798832
34,2.52104208416834,1.21422845691383,2.7755511022044104,9.42284569138276,1413.15000167245,336.22011300302
35,2.09458917835671,1.84468937875752,1.08016032064128,5.83967935871744,1361.3429940106098,589.4322377538559
36,1.47775551102204,1.16993987975952,1.70140280561122,9.639278557114231,1396.18236653031,343.916489607605
37,2.57815631262525,1.9228456913827698,2.4148296593186402,6.76553106212425,1447.3739509834697,540.7753362586969
38,1.4320641282565099,1.4851703406813601,2.46693386773547,5.0460921843687405,1586.6391497942402,978.136552297168
39,1.4168336673346698,1.06573146292585,2.7314629258517003,4.300601202404811,1749.71816858148,1697.9344623623901
40,1.49679358717435,1.64929859719439,1.21643286573146,7.9919839679358695,1303.66036346875,418.411672584029
41,1.77855711422846,1.46693386773547,1.46092184368737,8.66533066132265,1460.4812564201002,435.676420262232
42,1.9803607214428898,2.0166332665330704,2.5310621242485,9.00200400801603,1420.7985327384802,376.71097024230596
43,0.860921843687375,1.7404809619238502,1.6372745490982,6.1282565130260505,1529.75968975131,657.619567978427
44,2.50961923847695,1.62064128256513,1.96192384769539,9.14629258517034,1552.74552269894,415.067355810207
45,1.31402805611222,1.4747494989980001,1.5691382765531101,8.8937875751503,1261.5462529822698,339.343649634257
46,2.3192384769539105,1.1933867735470902,1.6452905811623202,7.12625250501002,1374.75116749786,519.42431087767
47,0.8533066132264531,1.82384769539078,1.28056112224449,9.0501002004008,1233.37000037249,328.511934248994
48,1.94609218436874,2.04268537074148,1.99799599198397,9.21843687374749,1596.07431775008,420.39928466275904
49,1.09318637274549,0.849498997995992,2.11823647294589,8.29258517034068,1576.14973864874,458.09608792545504
50,1.2645290581162298,1.80561122244489,2.37875751503006,8.7374749498998,1319.20787605938,343.502661251032
51,2.01082164328657,1.0344689378757501,1.6893787575150299,6.41683366733467,1518.26851602857,656.940090814957
52,2.28496993987976,1.4565130260521,1.93386773547094,6.74148296593186,1629.85522320992,642.5656218582401
53,2.0831663326653302,0.914629258517034,2.08617234468938,8.08817635270541,1535.29009806268,459.39129942323405
54,1.3064128256513001,1.82905811623247,1.03607214428858,8.94188376753507,1084.47129050687,322.18727706996003
55,1.0627254509018,1.3549098196392801,1.08817635270541,5.29859719438878,1440.71450372095,701.2936615176801
56,1.1008016032064099,2.07394789579158,2.11422845691383,5.082164328657309,1779.65422521687,1088.13164228135
57,1.61482965931864,1.8863727454909798,2.12625250501002,4.34869739478958,1709.8763372772,1426.7508867459198
58,1.32925851703407,1.36012024048096,1.10821643286573,8.40080160320641,1141.90772686712,338.421614898223
59,2.55150300601202,1.66492985971944,1.38476953907816,4.50501002004008,1701.87448430672,1174.45972704648
60,1.52344689378758,1.26633266533066,2.18236472945892,7.67935871743487,1320.36350534894,442.115722392127
61,1.00941883767535,1.7561122244489,2.83567134268537,7.9078156312625305,1479.25335611229,480.740142037834
62,1.3216432865731498,0.823446893787575,1.8937875751503,4.961923847695389,1736.35056105781,1092.07200991017
63,1.02464929859719,2.03226452905812,2.65130260521042,8.64128256513026,1533.07553764738,455.851457681296
64,1.6414829659318602,1.5034068136272498,1.66132264529058,9.96392785571142,1340.1924404805,310.698922325132
65,2.0565130260521,1.4513026052104199,1.32064128256513,9.687374749499,1260.21883548245,308.195877401493
66,1.36352705410822,1.0501002004008002,2.44288577154309,6.693386773547091,1480.38726602785,563.4257419825769
67,0.9903807615230459,1.26372745490982,1.1362725450901798,9.24248496993988,1131.35664771877,308.184953848656
68,1.99939879759519,1.24809619238477,2.86372745490982,7.54709418837675,1498.87869840199,530.047923765964
69,1.7328657314629299,1.12825651302605,2.57915831663327,8.19639278557114,1463.1653664454998,458.456862102684
70,0.898997995991984,1.76392785571142,1.26052104208417,4.7935871743487,1606.01380535177,907.459336131415
71,2.25450901803607,1.70661322645291,2.9318637274549104,6.88577154308617,1641.3125042718,661.616866088708
72,0.8685370741482971,1.6961923847695402,1.31663326653307,7.2464929859719405,1339.0204100481901,478.340756604783
73,0.9066132264529059,1.1907815631262502,2.7515030060120202,7.883767535070139,1630.52116145418,590.1443466556659
74,2.13647294589178,0.8807615230460921,1.8376753507014,5.27454909819639,1675.82654744081,911.1980793483659
75,2.02224448897796,0.935470941883768,2.8717434869739504,8.06412825651303,1504.2254350953601,477.004613389839
76,2.5895791583166297,1.74829659318637,2.05410821643287,7.667334669338679,1507.8105093009399,481.424712960831
77,1.1541082164328702,1.68837675350701,1.59719438877756,4.16833667334669,1625.0763131839801,1277.71673242768
78,1.59959919839679,1.72224448897796,1.6773547094188401,4.37274549098196,1645.01836834677,1263.3751600168303
79,1.3597194388777598,1.4356713426853702,2.6713426853707403,6.30861723446894,1680.77160021266,786.0755067883
80,2.6238476953907797,0.948496993987976,2.70741482965932,8.48496993987976,1587.35510234085,498.155198447828
81,0.8266533066132259,1.78476953907816,2.5591182364729503,6.48897795591182,1564.30923140042,673.164656849815
82,1.7062124248497,0.8260521042084169,1.63326653306613,5.77955911823647,1562.68240682956,735.362880921326
83,1.70240480961924,0.857314629258517,2.5671342685370697,6.332665330661321,1592.0716028209301,713.9395501848219
84,2.26973947895792,1.97234468937876,1.7535070140280602,8.4248496993988,1318.00249012655,370.640768094951
85,2.49819639278557,1.93847695390782,1.38877755511022,9.386773547094188,1382.2396701577302,352.443936947238
86,2.33446893787575,1.86553106212425,1.8456913827655301,9.87975951903808,1402.87293868487,311.330410056399
87,1.48156312625251,2.01402805611222,1.72144288577154,9.43486973947896,1438.66369236507,369.086033784245
88,2.46012024048096,1.57374749498998,1.56513026052104,9.987975951903811,1237.2438341717,277.80622105042596
89,1.2531062124248502,1.1959919839679398,2.53907815631263,5.503006012024049,1614.80028735733,893.073949590354
90,2.06032064128257,1.34188376753507,2.93987975951904,6.06813627254509,1709.5982741106197,848.1734479688361
91,1.09699398797595,1.35230460921844,1.33266533066132,4.07214428857715,1675.0130622896302,1350.67092244226
92,1.9270541082164299,1.65711422845691,2.59118236472946,8.50901803607214,1477.45734872913,439.563549485256
93,2.5248496993988,1.51382765531062,2.5871743486974,4.45691382765531,1619.4280506617902,1379.74570899026
94,2.60861723446894,1.91763527054108,1.9138276553106202,6.45290581162325,1618.19680103759,705.432084838474
95,1.60721442885772,1.00841683366733,2.25851703406814,4.09619238476954,1631.9805238479,1478.9068491712899
96,2.42204408817635,2.0270541082164297,2.21442885771543,9.27855711422846,1343.10274867496,333.3986244096
97,2.17074148296593,1.67274549098196,2.3867735470941898,5.0100200400801596,1503.9043253045402,925.754525461456
98,0.838076152304609,1.47995991983968,2.6312625250501003,8.37675350701403,1517.62290706452,469.026780317959
99,1.14649298597194,1.41482965931864,1.0040080160320601,6.90981963927856,1213.89362716141,443.19679029842905
100,2.3763527054108198,2.09218436873748,1.312625250501,8.16032064128257,1324.2651819370699,399.301482870199
101,2.36492985971944,1.06312625250501,1.2204408817635302,4.240480961923851,1600.9209371163502,1244.01046488514
102,0.8647294589178359,1.8186372745491002,2.1623246492986,5.599198396793589,1473.4158025505499,752.524276672096
103,2.44108216432866,0.8677354709418841,2.06613226452906,6.20040080160321,1667.4219815615302,725.099418348629
104,1.4853707414829702,0.8755511022044091,1.27254509018036,8.05210420841683,1282.44855379721,381.543847563887
105,2.19739478957916,0.813026052104208,1.4288577154308602,6.08016032064128,1685.58039334474,750.1515244059351
106,1.6338677354709399,1.48256513026052,2.51503006012024,7.306613226452909,1399.41725706586,530.3085633384729
107,2.32685370741483,1.18296593186373,1.9298597194388798,5.563126252505009,1743.35918053642,916.785060935473
108,1.1655310621242498,1.74569138276553,1.50501002004008,8.34068136272545,1195.8429180405901,342.315327166291
